Ex-dividend date,divCash,splitFactor,div_ratio,ticker,DecDay,Time,Link,FundamentLink,PreNewsPrice,OpenPrice,MaxBeforeRecord,MinBeforeRecord,CloseBeforeRecord,OpenAtRecord,AvgVol,DayDiff,positive_close,gain,DivToPrice,month,week,weekday,predict,Gain
2007-02-06,29.2,1.0,0.662883087,CENT,2007-01-03,AMC,https://www.stockwatch.com/News/Item/U-b006040-U!CENT-20070103/U/CENT,https://www.stockwatch.com/Quote/Fundamentals?U:CENT,47.9,48.01,49.13,42.09,44.05,14.9,655845.0,34,0,-0.08248281607998331,60.96,1,1,2,0.30404415685831393,0.9175171839200167
2007-01-11,0.25,1.0,0.02750275,IMH,2007-01-04,AMC,https://www.stockwatch.com/News/Item/U-pLATH090-U!IMH-20070104/U/IMH,https://www.stockwatch.com/Quote/Fundamentals?U:IMH,8.66,8.69,9.1,8.66,9.09,8.99,711700.0,7,1,0.04602991944764101,2.89,1,1,3,0.7901685792779333,1.046029919447641
2007-01-26,0.478596,1.0,0.021176814,DMLP,2007-01-18,DAY,https://www.stockwatch.com/News/Item/U-pDATH013-U!DMLP-20070118/U/DMLP,https://www.stockwatch.com/Quote/Fundamentals?U:DMLP,21.47,21.35,23.1,21.38,22.6,22.36,70525.0,8,1,0.058548009367681564,2.23,1,3,3,0.8518185844337914,1.0585480093676816
2007-01-31,0.285,1.0,0.021268657,BRKL,2007-01-19,DAY,https://www.stockwatch.com/News/Item/U-b005917-U!BRKL-20070119/U/BRKL,https://www.stockwatch.com/Quote/Fundamentals?U:BRKL,12.85,12.99,13.46,12.83,13.4,13.4,265035.0,12,1,0.03156274056966901,2.22,1,3,4,0.7534674634387463,1.031562740569669
2007-02-14,0.3,1.0,0.021428571,HTGC,2007-01-19,DAY,https://www.stockwatch.com/News/Item/U-b005149-U!HTGC-20070119/U/HTGC,https://www.stockwatch.com/Quote/Fundamentals?U:HTGC,14.13,14.07,14.5,13.71,14.0,13.96,76410.0,26,0,-0.00497512437810943,2.12,1,3,4,0.4577512338507765,0.9950248756218906
2007-03-30,0.80112,1.0,0.020452387,PHG,2007-01-22,AMC,https://www.stockwatch.com/News/Item/U-pNYM192-U!PHG-20070122/U/PHG,https://www.stockwatch.com/Quote/Fundamentals?U:PHG,37.39,37.79,39.38,35.35,39.17,38.19,940665.0,67,1,0.03651759724794923,2.14,1,4,0,0.49833294694605024,1.0365175972479492
2007-02-06,2.0,1.0,0.031545741,MWE,2007-01-26,AMC,https://www.stockwatch.com/News/Item/U-pLAF037-U!MWE-20070126/U/MWE,https://www.stockwatch.com/Quote/Fundamentals?U:MWE,62.13,63.25,64.67,61.75,63.4,61.85,51930.0,11,1,0.002371541501976271,3.22,1,4,4,0.9301978995820207,1.0023715415019763
2007-02-12,4.125,1.0,0.048370075,DO,2007-01-30,AMC,https://www.stockwatch.com/News/Item/U-b006363-U!DO-20070130/U/DO,https://www.stockwatch.com/Quote/Fundamentals?U:DO,83.17,82.9,87.9,82.5,85.28,81.04,4069165.0,13,1,0.028709288299155533,4.96,1,5,1,0.399145148369785,1.0287092882991555
2007-02-08,0.75,1.0,0.129982669,EGOV,2007-01-31,AMC,https://www.stockwatch.com/News/Item/U-b005883-U!EGOV-20070131/U/EGOV,https://www.stockwatch.com/Quote/Fundamentals?U:EGOV,5.35,5.53,5.82,5.41,5.77,5.08,129560.0,8,1,0.04339963833634708,14.02,1,5,2,0.6235127547933222,1.043399638336347
2007-02-09,1.0,1.0,0.023719165,QSII,2007-02-01,DAY,https://www.stockwatch.com/News/Item/U-b005197-U!QSII-20070201/U/QSII,https://www.stockwatch.com/Quote/Fundamentals?U:QSII,42.89,43.18,45.44,40.1,42.16,41.89,293920.0,8,0,-0.023622047244094557,2.33,2,5,3,0.6674014587720344,0.9763779527559054
