date,time,ticker,headline,link
2022-06-16 06:00:00,BMO,KLAC,KLA Corporation Hosts Investor Day; Announces $6 Billion Share Repurchase Program and 24% Increase to Quarterly Dividend; Affirms June 2022 Guidance,https://www.stockwatch.com/News/Item?bid=U-prLA90332-U:KLAC-20220616&symbol=KLAC&region=U&hitwords=per+share+dividends+dividend
2022-06-16 07:00:00,BMO,TPRFF,"GCM Mining Announces May 2022 Production; Declares July 15, 2022 Monthly Dividend",https://www.stockwatch.com/News/Item?bid=U-z8573295-U:TPRFF-20220616&symbol=TPRFF&region=U&hitwords=dividends+dividend
2022-06-15 16:30:00,AMC,IDE,"Voya Global Advantage and Premium Opportunity Fund & Voya Infrastructure, Industrials and Materials Fund Declare Quarterly Distributions",https://www.stockwatch.com/News/Item?bid=U-b20220615005671-U:IDE-20220615&symbol=IDE&region=U&hitwords=per+share+dividend+distribution+distributions+distributed
2022-06-15 16:30:00,AMC,IGA,"Voya Global Advantage and Premium Opportunity Fund & Voya Infrastructure, Industrials and Materials Fund Declare Quarterly Distributions",https://www.stockwatch.com/News/Item?bid=U-b20220615005671-U:IGA-20220615&symbol=IGA&region=U&hitwords=distributed+per+distributions+distribution+dividend+share
2022-06-15 16:30:00,AMC,VOYA,"Voya Global Advantage and Premium Opportunity Fund & Voya Infrastructure, Industrials and Materials Fund Declare Quarterly Distributions",https://www.stockwatch.com/News/Item?bid=U-b20220615005671-U:VOYA-20220615&symbol=VOYA&region=U&hitwords=share+distributions+per+dividend+distribution+distributed
2022-06-15 16:05:00,AMC,FDEU,First Trust Dynamic Europe Equity Income Fund Issues Notice Regarding June 2022 Distribution,https://www.stockwatch.com/News/Item?bid=U-b20220615005904-U:FDEU-20220615&symbol=FDEU&region=U&hitwords=distribution+dividend+distributions+distributed+dividends+distribute
2022-06-15 16:14:00,AMC,IAE,Voya Equity Closed End Funds Declare Distributions,https://www.stockwatch.com/News/Item?bid=U-b20220615005670-U:IAE-20220615&symbol=IAE&region=U&hitwords=distributions+share+distribution+dividends+dividend+per
2022-06-15 16:14:00,AMC,IGD,Voya Equity Closed End Funds Declare Distributions,https://www.stockwatch.com/News/Item?bid=U-b20220615005670-U:IGD-20220615&symbol=IGD&region=U&hitwords=per+share+dividend+distribution+dividends+distributions
2022-06-15 16:14:00,AMC,IHD,Voya Equity Closed End Funds Declare Distributions,https://www.stockwatch.com/News/Item?bid=U-b20220615005670-U:IHD-20220615&symbol=IHD&region=U&hitwords=distribution+share+per+dividend+dividends+distributions
2022-06-15 16:14:00,AMC,VOYA,Voya Equity Closed End Funds Declare Distributions,https://www.stockwatch.com/News/Item?bid=U-b20220615005670-U:VOYA-20220615&symbol=VOYA&region=U&hitwords=distributions+dividend+dividends+share+distribution+per
2022-06-15 16:05:00,AMC,FIF,First Trust Energy Infrastructure Fund Issues Notice Regarding June 2022 Distribution,https://www.stockwatch.com/News/Item?bid=U-b20220615005906-U:FIF-20220615&symbol=FIF&region=U&hitwords=dividend+distribution+distributions+distributed
2022-06-15 08:30:00,BMO,ATAX,"America First Multifamily Investors, L.P. Announces 12% Increase in Quarterly Distribution and a Supplemental Distribution",https://www.stockwatch.com/News/Item?bid=U-z8572335-U:ATAX-20220615&symbol=ATAX&region=U&hitwords=distribution+distributions
2022-06-15 07:00:00,BMO,CIXX,CI Global Asset Management Announces June 2022 Distributions for CI ETFs,https://www.stockwatch.com/News/Item?bid=U-b20220615005233-U:CIXX-20220615&symbol=CIXX&region=U&hitwords=distribution+dividend+distributions
2022-06-15 16:30:00,AMC,MS,Morgan Stanley Declares Dividends on Its Preferred Stock,https://www.stockwatch.com/News/Item?bid=U-b20220615006065-U:MS-20220615&symbol=MS&region=U&hitwords=dividend+share+per+dividends
2022-06-15 06:30:00,BMO,IIPR,Innovative Industrial Properties Declares Second Quarter 2022 Dividends,https://www.stockwatch.com/News/Item?bid=U-b20220615005131-U:IIPR-20220615&symbol=IIPR&region=U&hitwords=per+share+dividend+dividends
2022-06-15 16:21:00,AMC,EPR,EPR Properties Declares Monthly Dividend for Common Shareholders and Quarterly Dividends for Preferred Shareholders,https://www.stockwatch.com/News/Item?bid=U-b20220615006006-U:EPR-20220615&symbol=EPR&region=U&hitwords=share+dividends+per+dividend
2022-06-15 17:00:00,AMC,CVBF,CVB Financial Corp. Announces Increase in Quarterly Cash Dividend,https://www.stockwatch.com/News/Item?bid=U-z8573103-U:CVBF-20220615&symbol=CVBF&region=U&hitwords=share+per+dividend+dividends
2022-06-15 16:19:00,AMC,WRB,W. R. Berkley Corporation Increases Regular Quarterly Dividend and Declares Special Cash Dividend,https://www.stockwatch.com/News/Item?bid=U-b20220615006084-U:WRB-20220615&symbol=WRB&region=U&hitwords=per+dividends+dividend+share
2022-06-15 17:36:00,AMC,ALVOF,Alvopetro Announces US$0.08 Per Share Quarterly Dividend,https://www.stockwatch.com/News/Item?bid=U-C3311-U:ALVOF-20220615&symbol=ALVOF&region=U&hitwords=per+share+dividend+dividends
2022-06-15 16:15:00,AMC,RC,READY CAPITAL CORPORATION DECLARES SECOND QUARTER 2022 DIVIDENDS,https://www.stockwatch.com/News/Item?bid=U-prNY89184-U:RC-20220615&symbol=RC&region=U&hitwords=dividend+per+share+dividends
2022-06-15 09:57:00,DAY,NFG,National Fuel Increases Dividend Rate for 52nd Consecutive Year,https://www.stockwatch.com/News/Item?bid=U-z8572864-U:NFG-20220615&symbol=NFG&region=U&hitwords=dividends+share+dividend+per
2022-06-16 01:28:00,BMO,OUTFF,Outokumpu updates its dividend policy,https://www.stockwatch.com/News/Item?bid=U-prIO91264-U:OUTFF-20220615&symbol=OUTFF&region=U&hitwords=dividend+distribute
2022-06-16 01:28:00,BMO,OUTKY,Outokumpu updates its dividend policy,https://www.stockwatch.com/News/Item?bid=U-prIO91264-U:OUTKY-20220615&symbol=OUTKY&region=U&hitwords=distribute+dividend
2022-06-15 16:15:00,AMC,LADR,Ladder Capital Corp Announces 10% Dividend Increase and Second Quarter 2022 Dividend to Holders of Class A Common Stock,https://www.stockwatch.com/News/Item?bid=U-b20220615005816-U:LADR-20220615&symbol=LADR&region=U&hitwords=share+per+dividend
2022-06-15 18:41:00,AMC,ISTR,Investar Holding Corporation Declares Quarterly Cash Dividend,https://www.stockwatch.com/News/Item?bid=U-by0705252-U:ISTR-20220615&symbol=ISTR&region=U&hitwords=per+share+dividend+dividends
2022-06-15 07:00:00,BMO,STWD,Starwood Property Trust Announces $0.48 Per Share Dividend for Second Quarter 2022,https://www.stockwatch.com/News/Item?bid=U-prNE89049-U:STWD-20220615&symbol=STWD&region=U&hitwords=share+per+dividend+dividends
2022-06-15 09:10:00,BMO,MFA,"MFA Financial, Inc. Announces Dividend of $0.44 per Share",https://www.stockwatch.com/News/Item?bid=U-prNY88633-U:MFA-20220615&symbol=MFA&region=U&hitwords=dividends+share+dividend+per
